"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:05:19:007","415377240841","   0.000","  24.780"," 2628"," 2000"," 2900"," 2664","  12.161","   0.246","   0.068","   7.957","   0.161","   0.045"," 88","0"," 83"," 88","   1.118","   0.023","   0.006","  45.000","    0","    0"
"22:05:19:027","415435483652","   0.020","  36.158"," 3449"," 2800"," 3500"," 3746","  24.428","   0.736","   0.204","  20.134","   0.565","   0.157"," 92","0"," 83"," 92","   1.652","   0.056","   0.015","  45.000","    0","    0"
"22:05:19:047","415493680800","   0.040","  77.682"," 3492"," 3400"," 3500"," 3900","  38.320","   1.504","   0.418","  31.553","   1.197","   0.332"," 97","0"," 87"," 97","   2.863","   0.113","   0.031","  45.000","    0","    0"
"22:05:19:067","415551910507","   0.060","  51.822"," 3503"," 3300"," 3700"," 3900","  31.970","   2.145","   0.596","  27.112","   1.741","   0.483"," 97","0"," 90"," 98","   1.966","   0.153","   0.042","  45.000","    0","    0"
"22:05:19:087","415610577660","   0.080","  42.195"," 3502"," 3400"," 3600"," 3900","  29.931","   2.749","   0.764","  25.251","   2.251","   0.625"," 97","0"," 90"," 99","   1.737","   0.188","   0.052","  45.000","    0","    0"
"22:05:19:109","415673919422","   0.102","  44.052"," 3492"," 3400"," 3500"," 3900","  31.083","   3.427","   0.952","  25.906","   2.816","   0.782"," 97","0"," 90"," 98","   1.869","   0.228","   0.063","  45.000","    0","    0"
"22:05:19:130","415735051013","   0.123","  59.639"," 3492"," 3400"," 3600"," 3900","  33.845","   4.140","   1.150","  29.258","   3.432","   0.953","100","0"," 90","100","   2.157","   0.274","   0.076","  45.000","    0","    0"
"22:05:19:152","415797730990","   0.145","  79.810"," 3493"," 3400"," 3600"," 3900","  37.016","   4.939","   1.372","  33.046","   4.145","   1.151","100","0"," 92","100","   2.291","   0.323","   0.090","  45.000","    0","    0"
"22:05:19:172","415855886373","   0.165","  62.871"," 3495"," 3400"," 3600"," 3900","  35.799","   5.656","   1.571","  31.359","   4.773","   1.326","100","0"," 94","100","   1.877","   0.361","   0.100","  45.000","    0","    0"
"22:05:19:192","415914585846","   0.185","  44.087"," 3468"," 3300"," 3500"," 3900","  32.113","   6.305","   1.751","  27.182","   5.322","   1.478","100","0"," 95","100","   1.724","   0.396","   0.110","  45.000","    0","    0"
"22:05:19:212","415972748427","   0.205","  42.133"," 3489"," 2700"," 3500"," 3900","  29.231","   6.890","   1.914","  24.111","   5.805","   1.613"," 99","0"," 91","100","   1.560","   0.427","   0.119","  45.000","    0","    0"
"22:05:19:232","416031124746","   0.225","  21.317"," 3482"," 2400"," 3500"," 3900","  20.322","   7.299","   2.027","  15.118","   6.109","   1.697"," 96","0"," 87","100","   1.105","   0.449","   0.125","  45.000","    0","    0"
"22:05:19:252","416089750004","   0.245","  26.016"," 3470"," 1600"," 3600"," 3841","  22.288","   7.749","   2.152","  17.787","   6.468","   1.797"," 98","0"," 86","100","   1.119","   0.472","   0.131","  45.000","    0","    0"
"22:05:19:272","416148304568","   0.266","  16.115"," 3511"," 2500"," 3600"," 3876","  15.792","   8.067","   2.241","  11.297","   6.696","   1.860"," 95","0"," 86"," 99","   1.102","   0.494","   0.137","  45.000","    0","    0"
"22:05:19:294","416212185473","   0.288","  21.846"," 3541"," 2400"," 3600"," 3900","  19.864","   8.504","   2.362","  15.491","   7.037","   1.955"," 93","0"," 85"," 97","   1.149","   0.519","   0.144","  45.000","    0","    0"
"22:05:19:315","416270680227","   0.308","  23.844"," 3519"," 2400"," 3600"," 3900","  21.335","   8.934","   2.482","  17.114","   7.381","   2.050"," 95","0"," 85"," 97","   1.212","   0.544","   0.151","  45.000","    0","    0"
