System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
22:07:23:654, 270960217781,    0.110,    3.000, 4800,  14.548,   1.594,   0.443,  12.444,   1.363,   0.379, 41,  0,   1.363,   0.149,   0.041, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:23:762, 271370229459,    0.218,    1.000, 4700,  10.803,   2.762,   0.767,   8.463,   2.278,   0.633, 39,  0,   1.299,   0.290,   0.081, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:23:879, 271815168389,    0.335,    7.000, 4700,  13.517,   4.348,   1.208,  11.417,   3.618,   1.005, 43,  0,   1.345,   0.448,   0.124, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:23:990, 272233404519,    0.445,    3.000, 4800,  16.676,   6.187,   1.719,  14.544,   5.222,   1.451, 42,  0,   1.309,   0.592,   0.164, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:101, 272653371771,    0.556,    2.000, 4800,  12.259,   7.545,   2.096,  10.093,   6.340,   1.761, 39,  0,   1.215,   0.727,   0.202, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:207, 273057129099,    0.663,    1.000, 4800,  10.070,   8.617,   2.394,   8.067,   7.199,   2.000, 42,  0,   1.262,   0.861,   0.239, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:316, 273471125123,    0.772,    3.000, 4800,  15.878,  10.351,   2.875,  13.399,   8.662,   2.406, 41,  0,   1.390,   1.013,   0.281, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:423, 273877386932,    0.879,    2.000, 4800,  15.564,  12.018,   3.338,  13.477,  10.106,   2.807, 40,  0,   1.469,   1.170,   0.325, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:533, 274290919385,    0.988,    2.000, 4700,  14.745,  13.626,   3.785,  12.544,  11.474,   3.187, 43,  0,   1.332,   1.315,   0.365, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:637, 274689885854,    1.093,    4.000, 4800,  18.948,  15.620,   4.339,  16.856,  13.247,   3.680, 41,  0,   1.362,   1.459,   0.405, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:746, 275100090897,    1.201,    4.000, 4700,  22.116,  18.012,   5.003,  19.873,  15.397,   4.277, 43,  0,   1.446,   1.615,   0.449, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:859, 275528292318,    1.314,    5.000, 4700,  22.678,  20.573,   5.715,  20.546,  17.717,   4.921, 44,  0,   1.467,   1.781,   0.495, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:965, 275930369321,    1.420,    6.000, 4700,  27.962,  23.538,   6.538,  25.786,  20.451,   5.681, 47,  0,   1.443,   1.934,   0.537, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:074, 276343758457,    1.529,    5.000, 4700,  23.523,  26.102,   7.251,  21.385,  22.783,   6.328, 48,  0,   1.399,   2.086,   0.579, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:184, 276763061861,    1.640,    4.000, 4700,  18.154,  28.109,   7.808,  15.834,  24.533,   6.815, 40,  0,   1.496,   2.251,   0.625, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:294, 277179183938,    1.750,    1.000, 4800,  10.012,  29.208,   8.113,   7.946,  25.405,   7.057, 44,  0,   1.244,   2.388,   0.663, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:403, 277591786904,    1.858,    1.000, 4800,  10.601,  30.362,   8.434,   8.403,  26.320,   7.311, 43,  0,   1.280,   2.527,   0.702, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:512, 278003736189,    1.967,    1.000, 4900,   8.249,  31.258,   8.683,   6.048,  26.977,   7.494, 40,  0,   1.212,   2.659,   0.739, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:621, 278421346594,    2.077,    0.000, 4900,   6.261,  31.947,   8.874,   4.125,  27.431,   7.620, 45,  0,   1.166,   2.787,   0.774, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:744, 278886509409,    2.200,    3.000, 4800,  20.868,  34.507,   9.585,  18.664,  29.721,   8.256, 40,  0,   1.356,   2.954,   0.820, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:853, 279296736023,    2.308,    3.000, 4700,  15.508,  36.185,  10.051,  13.327,  31.162,   8.656, 46,  0,   1.424,   3.108,   0.863, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:960, 279704561822,    2.416,    3.000, 4700,  16.555,  37.965,  10.546,  14.456,  32.717,   9.088, 40,  0,   1.516,   3.271,   0.909, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:068, 280115549451,    2.524,    2.000, 4800,  14.730,  39.562,  10.989,  12.455,  34.067,   9.463, 40,  0,   1.452,   3.428,   0.952, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:176, 280522922907,    2.631,    3.000, 4800,  19.049,  41.608,  11.558,  16.833,  35.875,   9.965, 41,  0,   1.528,   3.592,   0.998, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:284, 280933206731,    2.740,    4.000, 4800,  20.004,  43.773,  12.159,  18.057,  37.829,  10.508, 44,  0,   1.554,   3.760,   1.045, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:395, 281355558413,    2.851,    6.000, 4700,  31.304,  47.259,  13.128,  28.949,  41.053,  11.404, 45,  0,   1.227,   3.897,   1.083, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:507, 281776220713,    2.962,    5.000, 4700,  29.146,  50.492,  14.026,  26.930,  44.041,  12.234, 42,  0,   1.311,   4.042,   1.123, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:607, 282156120428,    3.062,    5.000, 4700,  28.409,  53.339,  14.816,  26.350,  46.681,  12.967, 44,  0,   1.168,   4.159,   1.155, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:717, 282574706393,    3.172,    3.000, 4700,  17.340,  55.253,  15.348,  15.156,  48.354,  13.432, 41,  0,   1.616,   4.338,   1.205, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:834, 283018037004,    3.289,    2.000, 4800,  14.926,  56.998,  15.833,  12.794,  49.849,  13.847, 40,  0,   1.517,   4.515,   1.254, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:940, 283419096081,    3.395,    5.000, 4700,  25.294,  59.673,  16.576,  23.127,  52.296,  14.527, 44,  0,   1.399,   4.663,   1.295, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:047, 283828727669,    3.503,    4.000, 4700,  25.301,  62.406,  17.335,  23.083,  54.789,  15.219, 41,  0,   1.322,   4.806,   1.335, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:158, 284247171517,    3.613,    3.000, 4800,  17.013,  64.283,  17.856,  14.959,  56.440,  15.678, 42,  0,   1.500,   4.972,   1.381, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:261, 284639138201,    3.717,    5.000, 4700,  26.845,  67.058,  18.627,  24.402,  58.962,  16.378, 45,  0,   1.609,   5.138,   1.427, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:378, 285081122913,    3.833,    6.000, 4700,  28.990,  70.437,  19.566,  26.991,  62.108,  17.252, 47,  0,   1.213,   5.279,   1.466, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:488, 285496831453,    3.943,    5.000, 4700,  27.068,  73.405,  20.390,  24.860,  64.833,  18.009, 47,  0,   1.261,   5.418,   1.505, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:596, 285906464515,    4.051,    3.000, 4700,  19.916,  75.556,  20.988,  17.698,  66.745,  18.540, 42,  0,   1.519,   5.582,   1.550, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:701, 286305639103,    4.156,    4.000, 4700,  19.990,  77.660,  21.572,  17.865,  68.626,  19.063, 41,  0,   1.633,   5.754,   1.598, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:809, 286713561895,    4.264,    3.000, 4700,  19.270,  79.733,  22.148,  16.942,  70.448,  19.569, 41,  0,   1.595,   5.925,   1.646, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:922, 287143907171,    4.377,    3.000, 4800,  17.132,  81.678,  22.688,  14.918,  72.142,  20.039, 40,  0,   1.497,   6.095,   1.693, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:030, 287555090667,    4.486,    1.000, 4800,   9.778,  82.738,  22.983,   7.600,  72.966,  20.268, 41,  0,   1.256,   6.231,   1.731, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:139, 287966315583,    4.594,    1.000, 4900,   8.866,  83.699,  23.250,   6.684,  73.690,  20.470, 41,  0,   1.216,   6.363,   1.768, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:248, 288381546763,    4.704,    1.000, 4900,   8.895,  84.673,  23.520,   6.741,  74.429,  20.675, 39,  0,   1.214,   6.496,   1.804, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:356, 288790509843,    4.812,    1.000, 4900,   9.078,  85.652,  23.792,   6.857,  75.168,  20.880, 40,  0,   1.228,   6.629,   1.841, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:479, 289256850391,    4.935,    1.000, 4900,   9.750,  86.852,  24.125,   7.578,  76.100,  21.139, 40,  0,   1.244,   6.782,   1.884, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:580, 289638634597,    5.035,    1.000, 4800,  11.134,  87.973,  24.437,   9.114,  77.018,  21.394, 40,  0,   1.269,   6.909,   1.919, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:695, 290076687297,    5.151,    2.000, 4800,  12.820,  89.453,  24.848,  10.592,  78.241,  21.734, 39,  0,   1.354,   7.066,   1.963, 250.000, 250.000, 311.000,   0.000,   0.000
